,Compound Score,Negative Score,Neutral Score,Positive Score,Source Account,Tweet Date,Tweet Text
32,-0.0258,0.111,0.783,0.106,BBC Breaking News,Wed Sep 26 13:08:57 +0000 2018,"Suspects in the 1974 Birmingham pub bombings will not be named at fresh inquests, the appeal court rules https://t.co/RqzM3HkGfz"
33,-0.8271,0.312,0.688,0.0,BBC Breaking News,Tue Sep 25 18:13:58 +0000 2018,"""Sexually violent predator"" Bill Cosby given three to 10-year jail term for drugging and molesting a woman in 2004 https://t.co/vNPK6YmTfA"
34,0.4215,0.0,0.877,0.123,BBC Breaking News,Tue Sep 25 14:50:14 +0000 2018,"""Stronger, safer, richer"": Donald Trump tells UN he has done more in under two years than almost any prior president https://t.co/coDul33Afk"
35,0.0,0.0,1.0,0.0,BBC Breaking News,Mon Sep 24 17:24:24 +0000 2018,"Amid concerns about his job, Trump-Russia probe chief Rod Rosenstein has ""extended conversation"" with President Tru… https://t.co/IAXR7JSl1Y"
36,0.0,0.0,1.0,0.0,BBC Breaking News,Mon Sep 24 15:11:09 +0000 2018,"Rod Rosenstein, the man overseeing Trump-Russia probe, en route to White House amid reports he will offer to quit https://t.co/3kxi0m3UId"
37,0.8395,0.0,0.715,0.285,BBC Breaking News,Sat Sep 22 21:46:29 +0000 2018,"RT @BBCSport: Anthony Joshua wins! 🥊

He’s won by knockout in round 7!

AJ retains his heavyweight titles. 

Live reaction https://t.co/e2u…"
38,0.2263,0.0,0.899,0.101,BBC Breaking News,Sat Sep 22 20:09:28 +0000 2018,"Labour should be prepared to back demands for a new Brexit referendum, deputy leader Tom Watson has said. https://t.co/x9EOYEtffe"
39,-0.0258,0.212,0.579,0.208,BBC Breaking News,Sat Sep 22 18:48:42 +0000 2018,The woman accusing Supreme Court nominee Brett Kavanaugh of sexual assault agrees to testify against him next week https://t.co/W5RTtIVAwN
40,0.25,0.139,0.67,0.191,BBC Breaking News,Sat Sep 22 18:23:52 +0000 2018,US cable giant wins rare blind auction process set by the UK's Takeover Panel. https://t.co/Lc0sggm0FL
41,-0.5574,0.217,0.783,0.0,BBC Breaking News,Sat Sep 22 12:20:02 +0000 2018,Chas Hodges - one half of the musical duo Chas &amp; Dave - has died https://t.co/sLok83mgNk
42,0.128,0.092,0.797,0.112,BBC Breaking News,Sat Sep 22 11:10:39 +0000 2018,"Man rescued from air pocket in sunken Lake Victoria ferry, two days after it capsized with loss of around 170 lives https://t.co/l5rG7Bsa58"
43,-0.875,0.385,0.615,0.0,BBC Breaking News,Sat Sep 22 06:19:09 +0000 2018,"Several people killed in gun attack during Iranian military parade in south-west city of Ahvaz, state media says https://t.co/OweQk7y5Qp"
44,0.6542,0.0,0.789,0.211,BBC Breaking News,Fri Sep 21 13:17:13 +0000 2018,"""No-one wants a good deal more than me, but the EU should be clear I will not overturn the result of the referendum… https://t.co/xGM9JxrjiN"
45,-0.5106,0.142,0.858,0.0,BBC Breaking News,Fri Sep 21 13:14:06 +0000 2018,"UK PM Theresa May demands new proposals from EU to break Brexit ""impasse"" after Chequers plan rejected by EU leaders https://t.co/4IzVJBIco0"
46,0.0,0.0,1.0,0.0,BBC Breaking News,Fri Sep 21 12:02:41 +0000 2018,"UK PM Theresa May to make statement in Downing Street on state of #Brexit negotiations at 13:45 BST

https://t.co/SUQnGZEPKZ"
47,-0.3818,0.148,0.852,0.0,BBC Breaking News,Fri Sep 21 07:52:13 +0000 2018,"At least 86 bodies are found after a Tanzanian ferry overturns in Lake Victoria, officials say https://t.co/Pcy3ObgGin"
48,0.0,0.0,1.0,0.0,BBC Breaking News,Thu Sep 20 16:10:35 +0000 2018,Multiple deaths and injuries after a shooting at a pharmacy distribution centre in Maryland - US police https://t.co/38OudkxJja
49,-0.4404,0.127,0.873,0.0,BBC Breaking News,Thu Sep 20 14:13:40 +0000 2018,"After criticism of her Chequers plan by EU leaders, Theresa May stands by her #Brexit proposals as ""the only seriou… https://t.co/jAq6ulD1iY"
50,0.3612,0.0,0.878,0.122,BBC Breaking News,Thu Sep 20 13:36:45 +0000 2018,"European Council President Donald Tusk says EU leaders agree Theresa May's Chequers plan for #Brexit ""will not work… https://t.co/9Mc9yWQLUJ"
51,0.0,0.0,1.0,0.0,BBC Breaking News,Thu Sep 20 12:59:39 +0000 2018,"RT @BBCSport: The suspension of Russia's anti-doping agency (Rusada) has been lifted despite widespread opposition.

Full story: https://t.…"
52,0.0772,0.0,0.909,0.091,BBC Breaking News,Wed Sep 19 10:21:14 +0000 2018,Pakistan court orders release of ex-PM Nawaz Sharif and suspends his jail sentence https://t.co/3LqxVQ6F51
53,-0.3612,0.122,0.878,0.0,BBC Breaking News,Wed Sep 19 09:36:38 +0000 2018,"Woman dies after caravan blown off cliff in Galway, Ireland as Storm Ali brings disruption to British Isles https://t.co/wubY4511gO"
54,0.0,0.0,1.0,0.0,BBC Breaking News,Wed Sep 19 08:33:35 +0000 2018,"UK inflation rate for August unexpectedly rises to 2.7%, highest in six months https://t.co/GmqT0MuLhi"
55,0.5423,0.0,0.769,0.231,BBC Breaking News,Wed Sep 19 02:59:21 +0000 2018,"Moon and Kim hail new future for North and South Korea, signing wide-ranging agreement in Pyongyang https://t.co/QNzHH5gdDP"
56,-0.5859,0.22,0.78,0.0,BBC Breaking News,Tue Sep 18 16:12:26 +0000 2018,Germany's spy chief forced out of job over his controversial response to reports of far-right unrest in Chemnitz https://t.co/NUAvqHojSE
57,-0.2023,0.083,0.917,0.0,BBC Breaking News,Tue Sep 18 13:13:51 +0000 2018,"RT @BBCSport: Ben Stokes and Alex Hales have been charged with bringing the game into disrepute by the ECB.

https://t.co/1mH5geVa1O https:…"
58,-0.5267,0.202,0.725,0.073,BBC Breaking News,Mon Sep 17 22:41:12 +0000 2018,The US is imposing new tariffs on $200bn (£150bn) worth of Chinese goods as it escalates its trade war with Beijing https://t.co/CjuxgjX23d
59,-0.5574,0.167,0.833,0.0,BBC Breaking News,Mon Sep 17 18:11:18 +0000 2018,Thai cave rescuer Vernon Unsworth sues Elon Musk over his repeated claims the British diver is child abuser https://t.co/wJeixByjo9
60,0.0772,0.086,0.813,0.1,BBC Breaking News,Mon Sep 17 16:42:17 +0000 2018,Russia and Turkey to create buffer zone in Syria's northern Idlib province to separate Syrian forces and rebels https://t.co/1xjM2afBPr
61,-0.0516,0.156,0.697,0.148,BBC Breaking News,Mon Sep 17 14:42:34 +0000 2018,"US Supreme Court nominee Brett Kavanaugh says sexual assault claim against him is ""completely false"" in first comme… https://t.co/MPyA5T4jiH"
62,0.1027,0.086,0.802,0.111,BBC Breaking News,Mon Sep 17 09:18:01 +0000 2018,"International Monetary Fund warns no-deal #Brexit would inflict ""substantial costs"" on the UK economy https://t.co/qBkhE3584i"
63,0.0,0.0,1.0,0.0,BBC Breaking News,Sun Sep 16 19:30:19 +0000 2018,"Police have sealed off the Prezzo restaurant in High Street, Salisbury, following a 'medical incident' involving a man and a woman"
64,0.0516,0.162,0.667,0.171,BBC Breaking News,Sun Sep 16 19:24:39 +0000 2018,Correction: Christine Blasey Ford reveals she was teenager allegedly assaulted by Supreme Court nominee Kavanaugh https://t.co/NMZLm0Ro4C
65,0.0,0.0,1.0,0.0,BBC Breaking News,Sun Sep 16 09:31:11 +0000 2018,"RT @BBCSport: Kenya's Eliud Kipchoge has set a new marathon world record in Berlin.

https://t.co/D9EEUxebgM https://t.co/mb8oigT6FB"
66,-0.6486,0.17,0.83,0.0,BBC Breaking News,Sat Sep 15 01:32:56 +0000 2018,"At least five dead as Florence mauls US East Coast

·Winds of up to 70mph (110km/h) expected for several days
·Almo… https://t.co/dAXPvHdCAW"
67,-0.6705,0.209,0.791,0.0,BBC Breaking News,Fri Sep 14 21:00:56 +0000 2018,"Hurricane Florence downgraded to tropical storm
 
• Four people killed as storm batters US East Coast
• 600,000 hom… https://t.co/EWslcjopvp"
68,-0.6887,0.325,0.608,0.066,BBC Breaking News,Fri Sep 14 18:28:18 +0000 2018,"Typhoon Mangkhut reaches northern Philippines with officials warning of possible ""very heavy damage"" https://t.co/ez3FCfWNV1"
69,0.2023,0.0,0.886,0.114,BBC Breaking News,Fri Sep 14 15:41:17 +0000 2018,"Trump's former campaign manager Paul Manafort agrees to co-operate with Mueller probe, prosecutor says https://t.co/o8VmfnfWtx"
70,0.0,0.0,1.0,0.0,BBC Breaking News,Fri Sep 14 11:48:34 +0000 2018,"#HurricaneFlorence latest

• Centre of hurricane eye makes landfall
• More than 300,000 people without power 
• Eva… https://t.co/hxwsLoRxka"
71,0.0,0.0,1.0,0.0,BBC Breaking News,Fri Sep 14 10:05:23 +0000 2018,"#HurricaneFlorence makes landfall on east coast of US

Follow our live updates https://t.co/DEangW2yzK https://t.co/yy1qY9b4ui"
72,-0.7351,0.279,0.721,0.0,BBC Breaking News,Thu Sep 13 10:26:24 +0000 2018,Suspects in poisoning of ex-Russian spy Sergei Skripal tell state-sponsored TV network RT they visited Salisbury as… https://t.co/wJsPNLoMCp
73,-0.7351,0.267,0.733,0.0,BBC Breaking News,Thu Sep 13 10:13:52 +0000 2018,Two men named as suspects in poisoning of Russian ex-spy claim they were merely tourists to Salisbury Cathedral https://t.co/PFXBDyJrkf
74,-0.8442,0.336,0.664,0.0,BBC Breaking News,Wed Sep 12 15:02:35 +0000 2018,"British couple who died at Egyptian hotel were killed by E. coli, the country's general prosecutor says https://t.co/PqSvcJ75N8"
75,-0.2556,0.161,0.721,0.118,BBC Breaking News,Wed Sep 12 07:06:33 +0000 2018,"""Nothing criminal"" about men named by UK over poisoning of ex-Russian spy Sergei Skripal and daughter, Putin says https://t.co/UjoGhhCn3G"
76,0.658,0.0,0.846,0.154,BBC Breaking News,Tue Sep 11 16:30:50 +0000 2018,"RT @bbctms: WICKET!
There it is! Anderson cleans up Shami, bowled for 0. England win the match and Jimmy Anderson takes his 564th Test wick…"
77,0.5267,0.0,0.871,0.129,BBC Breaking News,Tue Sep 11 09:21:43 +0000 2018,"RT @BBCSport: Uefa plans to introduce a third European club competition alongside the Champions League and Europa League from 2021.

👉 http…"
78,-0.4404,0.172,0.828,0.0,BBC Breaking News,Tue Sep 11 08:35:00 +0000 2018,"UK unemployment fell by 55,000 in the three months to July, ONS figures say https://t.co/XYEvJ6AbkM"
79,0.0,0.0,1.0,0.0,BBC Breaking News,Mon Sep 10 14:09:41 +0000 2018,England's leading Test run scorer Alastair Cook dismissed for 147 in his last ever innings for his country… https://t.co/XCWX52LxXE
80,-0.3707,0.096,0.904,0.0,BBC Breaking News,Mon Sep 10 11:45:36 +0000 2018,"RT @bbctms: THERE IT IS!
What a moment for Alastair Cook on his last-ever Test innings he brings up his hundred! Not sure he'd have expecte…"
81,0.6249,0.0,0.718,0.282,BBC Breaking News,Sun Sep 09 18:09:57 +0000 2018,"Sweden's far right makes gains in election as establishment parties deadlocked, exit polls predict https://t.co/GXIMNX2uTb"
82,-0.8555,0.42,0.58,0.0,BBC Breaking News,Sun Sep 09 17:03:42 +0000 2018,"28-year-old woman charged with attempted murder after man stabbed on Saturday in Barnsley, South Yorkshire https://t.co/IQTo0Ap8cW"
83,0.8402,0.083,0.577,0.34,BBC Breaking News,Sat Sep 08 21:47:17 +0000 2018,Naomi Osaka beats Serena Williams 6-2 6-4 to win US Open - the first Japanese player to win Grand Slam singles title https://t.co/y9hsSHkKZy
84,-0.9231,0.47,0.53,0.0,BBC Breaking News,Sat Sep 08 17:02:27 +0000 2018,"Woman, 28, arrested after man stabbed in Barnsley, South Yorkshire is being held on suspicion of attempted murder https://t.co/iWCXSe2gLM"
85,-0.7184,0.24,0.76,0.0,BBC Breaking News,Sat Sep 08 09:38:43 +0000 2018,"One person arrested after reports man had been stabbed in Barnsley town centre, as police investigate if it was an… https://t.co/oyYQpXLyph"
86,-0.0772,0.098,0.902,0.0,BBC Breaking News,Sat Sep 08 09:10:30 +0000 2018,"Police responding to ""serious incident"" in Barnsley, South Yorkshire, the force says https://t.co/hIXI30hWJ9"
87,-0.6486,0.185,0.815,0.0,BBC Breaking News,Fri Sep 07 21:28:58 +0000 2018,"US rapper Mac Miller found dead at his Los Angeles home aged 26 after apparent overdose, US media report https://t.co/ytKhUKCXkC"
88,-0.765,0.28,0.72,0.0,BBC Breaking News,Fri Sep 07 20:45:14 +0000 2018,Former Donald Trump aide George Papadopoulos jailed for 14 days for lying to the FBI in Russia investigation https://t.co/SIBVvJz398
89,-0.7871,0.427,0.433,0.14,BBC Breaking News,Fri Sep 07 07:00:15 +0000 2018,"BA boss ""extremely sorry"" after some customers' data stolen in ""very sophisticated criminal attack"" on website https://t.co/PGrIfzJlnG"
90,-0.8225,0.388,0.612,0.0,BBC Breaking News,Thu Sep 06 20:55:50 +0000 2018,Twitter permanently bans US conspiracy theorist Alex Jones and Infowars for abusive behaviour https://t.co/6hp5VIIf7F
91,0.4019,0.0,0.847,0.153,BBC Breaking News,Thu Sep 06 19:28:33 +0000 2018,"Obituary: Burt Reynolds - full of charm &amp; swagger, he became one of Hollywood's best-known stars… https://t.co/FNVMKFPafC"
92,0.0,0.0,1.0,0.0,BBC Breaking News,Thu Sep 06 19:06:08 +0000 2018,"Burt Reynolds dies, aged 82 - he starred in a string of hits in the 1970s, including Smokey and the Bandit &amp; Delive… https://t.co/eeqUAl3qVP"
93,-0.2732,0.13,0.87,0.0,BBC Breaking News,Thu Sep 06 17:00:22 +0000 2018,A planned tax cut for 2.7m self-employed workers has been scrapped by the UK government https://t.co/v9Mbp69qsd
94,0.3245,0.159,0.543,0.298,BBC Breaking News,Thu Sep 06 15:10:53 +0000 2018,"US, France, Germany and Canada agree with UK that Russian government ""almost certainly"" approved Salisbury poisoning https://t.co/zEJwB5R0mT"
95,-0.5574,0.217,0.783,0.0,BBC Breaking News,Thu Sep 06 10:35:28 +0000 2018,"Cranberries singer Dolores O'Riordan died by drowning due to alcohol intoxication, inquest told https://t.co/CdevEV5EYs"
96,-0.128,0.249,0.524,0.227,BBC Breaking News,Thu Sep 06 06:28:06 +0000 2018,Gay sex is no longer a crime in India after a historic verdict by the Supreme Court https://t.co/GnrdzPPSuF
97,-0.7351,0.279,0.721,0.0,BBC Breaking News,Wed Sep 05 12:11:06 +0000 2018,"""This was not a rogue operation""

UK PM Theresa May says suspects in Salisbury poisoning investigation were Russian… https://t.co/MbTg37F5H6"
98,-0.34,0.233,0.636,0.131,BBC Breaking News,Wed Sep 05 12:05:07 +0000 2018,"Two Salisbury attack suspects are believed to be Russian military intelligence officers, UK PM Theresa May says https://t.co/cC5Plpg7J4"
99,-0.4767,0.154,0.846,0.0,BBC Breaking News,Wed Sep 05 10:09:08 +0000 2018,"UK police name two Russian nationals saying there is ""sufficient evidence"" to charge them over Salisbury attack https://t.co/SXGLXtBgPY"
0,0.296,0.149,0.585,0.266,Fox News,Fri Sep 28 21:30:29 +0000 2018,"Kavanaugh friend Mark Judge agrees to cooperate with @FBI probe, denies latest allegations https://t.co/7DGISHByWf"
1,0.0,0.0,1.0,0.0,Fox News,Fri Sep 28 21:20:10 +0000 2018,".@POTUS on Friday ordered the @FBI to conduct a ""supplemental"" investigation into the allegations of sexual assault… https://t.co/kGI0cg5Vj0"
2,0.0,0.0,1.0,0.0,Fox News,Fri Sep 28 21:08:09 +0000 2018,BREAKING: @POTUS orders ‘supplemental’ @FBI investigation into Kavanaugh https://t.co/Ms2j0jiiKb
3,-0.2263,0.137,0.863,0.0,Fox News,Fri Sep 28 20:47:58 +0000 2018,Senate Republicans ask for limited FBI investigation of Kavanaugh before floor vote https://t.co/HO6DZ2Fva1
4,-0.7506,0.33,0.67,0.0,Fox News,Fri Sep 28 20:36:16 +0000 2018,".@LindseyGrahamSC on if Senators are mad at @JeffFlake: ""you're mad at him, that's unreasonable.""… https://t.co/a761Oj6Zem"
5,0.5413,0.0,0.845,0.155,Fox News,Fri Sep 28 20:31:16 +0000 2018,"FULL REMARKS: Sen. @LindseyGrahamSC on Judge Kavanaugh: ""I know all I need to know. I'm very confident in this man:… https://t.co/wRIBm5Ni8M"
6,0.6908,0.0,0.749,0.251,Fox News,Fri Sep 28 20:30:19 +0000 2018,".@LindseyGrahamSC on Kavanaugh nomination: ""I feel like The White House will honor the request of the committee to… https://t.co/Tnv0MouekY"
7,0.4019,0.0,0.863,0.137,Fox News,Fri Sep 28 20:25:21 +0000 2018,".@LindseyGrahamSC on Kavanaugh nomination: ""Hopefully in the next few days the FBI will answer questions that linge… https://t.co/fEsYVzuqWQ"
8,0.25,0.0,0.895,0.105,Fox News,Fri Sep 28 20:23:11 +0000 2018,Senators deliver remarks on the Senate floor after the Senate Judiciary Committee endorsed Judge Brett Kavanaugh in… https://t.co/WLZkKMtRio
9,0.25,0.0,0.882,0.118,Fox News,Fri Sep 28 20:21:40 +0000 2018,Senator @LindseyGrahamSC speaks to reporters after the Senate Judiciary Committee endorsed Judge Brett Kavanaugh in… https://t.co/qQWMttIrrp
10,-0.7959,0.366,0.634,0.0,Fox News,Fri Sep 28 20:16:00 +0000 2018,'Look at Me When I'm Talking to You!': Sexual Assault Victims Confront Flake Before Kavanaugh Vote https://t.co/XktYNE1VZC
11,0.0,0.0,1.0,0.0,Fox News,Fri Sep 28 20:11:22 +0000 2018,Trace Gallagher is live with the ‘Fox News Update’ on Facebook Watch: https://t.co/hNrB8xzepH https://t.co/yzDIRM8nlH
12,-0.3182,0.223,0.777,0.0,Fox News,Fri Sep 28 20:10:58 +0000 2018,OPINION: Kavanaugh hearing echoes Clarence Thomas-Anita Hill confrontation https://t.co/pNVwvORMGD
13,0.6908,0.0,0.749,0.251,Fox News,Fri Sep 28 20:08:37 +0000 2018,Senate GOP leaders have agreed to seek an additional FBI investigation into Supreme Court nominee Brett Kavanaugh b… https://t.co/m0NOjt0APT
14,0.3612,0.0,0.872,0.128,Fox News,Fri Sep 28 20:02:39 +0000 2018,BREAKING: Senate GOP leaders agree to seek an additional FBI background investigation into Brett Kavanaugh before a… https://t.co/hd431cb9sp
15,0.5574,0.0,0.816,0.184,Fox News,Fri Sep 28 20:00:02 +0000 2018,"In her weekly press conference, House Minority Leader @NancyPelosi called out Supreme Court nominee Brett Kavanaugh… https://t.co/KHUs5Eq97m"
16,0.0,0.0,1.0,0.0,Fox News,Fri Sep 28 19:57:54 +0000 2018,Fox News Beats CNN and MSNBC Combined in Kavanaugh Hearing Viewers https://t.co/g7yGqFD1jR
17,0.6249,0.0,0.788,0.212,Fox News,Fri Sep 28 19:53:00 +0000 2018,"Sen. @LindseyGrahamSC said he’s been doing “this legal stuff most of [his] life,” and went on to praise Judge Brett… https://t.co/Tf3n3trGfO"
18,0.0258,0.0,0.942,0.058,Fox News,Fri Sep 28 19:45:39 +0000 2018,".@SenJoniErnst on allegations against Kavanaugh: ""I do know that Dr. Ford wanted to keep this a private matter and… https://t.co/KkH4HEkmKu"
19,0.4404,0.0,0.861,0.139,Fox News,Fri Sep 28 19:44:46 +0000 2018,".@SenJoniErnst: ""[Judge Kavanaugh] has truly been put through the ringer this last week, and I feel for the family.… https://t.co/cbq5FHfMwP"
20,0.296,0.149,0.585,0.266,Fox News,Fri Sep 28 21:30:29 +0000 2018,"Kavanaugh friend Mark Judge agrees to cooperate with @FBI probe, denies latest allegations https://t.co/7DGISHByWf"
21,0.0,0.0,1.0,0.0,Fox News,Fri Sep 28 21:20:10 +0000 2018,".@POTUS on Friday ordered the @FBI to conduct a ""supplemental"" investigation into the allegations of sexual assault… https://t.co/kGI0cg5Vj0"
22,0.0,0.0,1.0,0.0,Fox News,Fri Sep 28 21:08:09 +0000 2018,BREAKING: @POTUS orders ‘supplemental’ @FBI investigation into Kavanaugh https://t.co/Ms2j0jiiKb
23,-0.2263,0.137,0.863,0.0,Fox News,Fri Sep 28 20:47:58 +0000 2018,Senate Republicans ask for limited FBI investigation of Kavanaugh before floor vote https://t.co/HO6DZ2Fva1
24,-0.7506,0.33,0.67,0.0,Fox News,Fri Sep 28 20:36:16 +0000 2018,".@LindseyGrahamSC on if Senators are mad at @JeffFlake: ""you're mad at him, that's unreasonable.""… https://t.co/a761Oj6Zem"
25,0.5413,0.0,0.845,0.155,Fox News,Fri Sep 28 20:31:16 +0000 2018,"FULL REMARKS: Sen. @LindseyGrahamSC on Judge Kavanaugh: ""I know all I need to know. I'm very confident in this man:… https://t.co/wRIBm5Ni8M"
26,0.6908,0.0,0.749,0.251,Fox News,Fri Sep 28 20:30:19 +0000 2018,".@LindseyGrahamSC on Kavanaugh nomination: ""I feel like The White House will honor the request of the committee to… https://t.co/Tnv0MouekY"
27,0.4019,0.0,0.863,0.137,Fox News,Fri Sep 28 20:25:21 +0000 2018,".@LindseyGrahamSC on Kavanaugh nomination: ""Hopefully in the next few days the FBI will answer questions that linge… https://t.co/fEsYVzuqWQ"
28,0.25,0.0,0.895,0.105,Fox News,Fri Sep 28 20:23:11 +0000 2018,Senators deliver remarks on the Senate floor after the Senate Judiciary Committee endorsed Judge Brett Kavanaugh in… https://t.co/WLZkKMtRio
